formula,predicted_Tc,efermi,band_gap
Ca3Si1S2O25,115.40322875976562,0.06087503,0.1093
Al12Ga1S4O66,103.00621032714844,1.55861785,0.0
C1N1O2,102.15380859375,1.87590701,2.9157
Na5Ca4Si6O18,101.76507568359375,6.52444168,0.0
Al12Ge1Se4O70,99.87480163574219,-1.53529531,0.0
Na24Ca10Ta2Si9S9O72,98.79713439941406,2.06790918,2.4919
Na4Cd2Si3O10,93.38200378417969,1.07983312,2.7505
Na3Ca4Ti1Si4O16F2,93.31643676757812,1.03216885,0.0
Na2Ca4Si1Sn4S11O48,92.83818054199219,1.84648486,0.4463000000000001
Ca8Si4O15F3,91.57099914550781,1.5178043,0.1568
Na8Ca3Hf1Si3S3O24,91.3697509765625,2.13643244,3.1109
Ca6Ti1Al5Si6O25F5,91.34408569335938,3.2186979,2.8637999999999995
Ca6Ti1Al5Si6O25F5,91.34408569335938,3.2186979,2.8637999999999995
Na2Ca4Ti4Si1S11O48,89.95378112792969,0.78857248,1.3062
Ca4Al6Te1O12,89.62071228027344,1.90372664,3.1465
Ca4Si6W5O17,89.5777587890625,4.40875957,0.3426999999999998
Ca3Si1H30C1S1O25,89.06280517578125,-0.25527594,4.4149
Ca3Si1H30C1S1O25,89.06280517578125,-0.25527594,4.4149
Na24Mg10Ta2Si9S9O72,88.94587707519531,2.95137919,2.095
Ag4C1N3O9,88.18211364746094,0.44428186,2.3921
Ag3C1N3O6,87.51153564453125,-0.23930237,2.5277000000000003
Na2Ca5Ti1Si4O16F2,87.25056457519531,1.07074848,0.0
Ca2Al2Si1H2O8,86.489990234375,1.57496206,4.731
Ca2Al2Si1H2O8,86.489990234375,1.57496206,4.731
Ca2Ga2Si1H2O8,86.37417602539062,0.8370487,3.5382
Ca3Si1C1S1O25,86.27134704589844,-0.84217803,0.0
Ca3Si1C1S1O25,86.27134704589844,-0.84217803,0.0
Al6Cd4Te1O12,86.14388275146484,0.86288426,2.5652
Na4Ca4Ti4Si4O22F3,85.2433090209961,1.09389367,0.0
Cs1Zn2B3O7,85.10334777832031,-0.53907232,3.5131
Na2Ca4Si1Ge4S11O48,84.63514709472656,1.56133635,0.3254999999999999
Na8Ca3Zr1Si3S3O24,84.47651672363281,1.94971916,3.0172
Na2U2Si1O8F2,84.45586395263672,1.14776401,1.75
Ni1Hg1O2,84.25314331054688,3.86546093,0.0
Ca5Si6W5O17,83.43732452392578,4.69641867,0.0784000000000002
Na1Ca2Si1O4F1,82.93541717529297,1.71749124,3.0452
Na24Ta2Zn10Si9S9O72,82.67372131347656,2.1802887,2.4642
Ca1Al2Si2Cl2O8,82.60176086425781,-0.62483753,0.0
Ca1Al2Si2Cl2O8,82.60176086425781,-0.62483753,0.0
Eu1H3C1S1O7,81.57156372070312,-0.03527107,0.1166
Rb1Al1S2O20,81.49378204345703,-1.357791,0.0
Na2Ca4Zr4Si1S11O48,81.31240844726562,0.94633365,2.2645
Zn1Si1Ag2O4,81.22706604003906,1.67676181,0.6074999999999999
Na5Lu1Si4O12,81.17062377929688,1.11510688,3.8211
Na1Al12Ga1S4O66,80.88314056396484,1.53636411,0.0630999999999999
H7C1N3O3,80.40911865234375,-0.78125317,3.2517
Na1Ag1C2O4,80.05818176269531,0.7303511,2.5394
Na24Ca10Nb2Si9S9O72,79.13562774658203,2.17194513,1.4419
Rb2Cd1Si1O4,78.78131103515625,0.94252452,2.4877
Na4Ca7Mn1Si12H4O36,78.60633850097656,2.20879538,4.1171
Al1S2N1O20,78.12337493896484,-1.35195671,0.0
