formula,predicter_Tc
C1N1O2,102.15380859375
Ba3Tm1B3O9,100.0721435546875
Ba3Er1B3O9,94.78648376464844
Ba2Al1W3O7,90.6837158203125
Ba2Y1Ni3O7,90.16380310058594
Ag4C1N3O9,88.18211364746094
Ag3C1N3O6,87.51153564453125
Cs1Zn2B3O7,85.10334777832031
Ni1Hg1O2,84.25314331054688
Ba1Mg1C2O4,83.86201477050781
Ba1Ca1C1O3,82.95565795898438
Ba3Dy1B3O9,82.32627868652344
H7C1N3O3,80.40911865234375
Ba4Na1B3O9,80.13052368164062
Na1Ag1C2O4,80.05818176269531
Al4Cu2O7,78.82759094238281
Ba4Al2O7,78.38101196289062
Al1S2N1O20,78.12337493896484
Al2Se3O28,77.25935363769531
Ca4Tl2C1O9,76.83464050292969
K2Cd1Si1O4,75.64482116699219
Ba3Ho1B3O9,75.05406951904297
Mg3Si1O5F1,74.84013366699219
Rb1Zn4B3O9,73.75288391113281
Li1N1O2,73.42169952392578
Al2P1H3O7,73.1499252319336
Na3Si2P1O8,71.29668426513672
Li1Cl1O2,70.90422058105469
Ba2W1C4O8,70.80789184570312
H4C1N2O1,70.69300842285156
Rb1Be2B3O7,70.24263000488281
H14C2N8O5,69.95193481445312
Na4C1O4,69.78692626953125
Al1H4Se2O8,69.54183197021484
Li1Cu5P2O8,69.54090118408203
Y1B3H24N4,69.47337341308594
K2Zn1Si1O4,69.45069885253906
Ba1Si2O9,69.30888366699219
Ba1Si1H2O4,68.68559265136719
H6C1N2O3,68.52479553222656
Rb2Ge1B4O9,68.10795593261719
H13C2Cl3O8,66.86412048339844
Li1Ag2N3O6,66.62478637695312
Ca2B5H3O11,66.53421020507812
H9C3S2N1O3,66.30474853515625
Ca4Si2O7F2,65.80413818359375
K1Na2Ni2O4,65.62449645996094
Ca2Si1O4F1,65.60539245605469
Cs2Ge1B4O9,65.41128540039062
Cs1Zn4B3O9,65.25153350830078
Na3Cr1B2O6,65.04119873046875
Cs2Si1B4O9,64.62657165527344
Cs2Si1B4O9,64.62657165527344
K1Ca4B3O9,64.54829406738281
C1I1N2O6F3,64.32301330566406
Cs1Be4B3O9,63.93077087402344
Na3Co1B2O6,63.7695198059082
H4C1S1N2,63.73127746582031
Cs1Ba1B3O6,63.70289993286133
Ba3Y1B3O9,63.65238952636719
Ni1H4N2O8,63.59467315673828
K1Li7H16N8,62.95045852661133
Li4Cu3W1O8,62.93790817260742
K3Sc1Si2O7,62.93523025512695
Ba1C2O4,62.73377227783203
Ba2Cd1B2O6,62.71046829223633
Al1H6N2Cl3,62.65111541748047
Ba2Al1V3O7,62.23643112182617
Li2Cu1C1O4,62.18304443359375
Li2Cu1C1O4,62.18304443359375
K3Er1Si2O7,61.708587646484375
Li1Cr1O2,61.60619354248047
Mg3C1O4,61.60444259643555
Ba3Sc1B3O9,61.5974006652832
Li1H2N1,61.50185775756836
Cu1Si1H2O4,61.419044494628906
Ag1C1O2,61.37202072143555
Na3Y1Si2O7,61.35102462768555
K3Ho1Si2O7,61.33553314208984
Na2Li1H6N3,61.19830703735352
Ca3Si1O4F1,61.16840362548828
Cd4Si4O9,61.037696838378906
Li1Ag1C2O4,60.90935134887695
Li1Ag1C2O4,60.90935134887695
Li2B1Se1O4,60.89754867553711
Li2B1Se1O4,60.89754867553711
Cd1Ni1O2,60.36391067504883
Li8Fe7O15,60.166969299316406
Na5Li1P2O8,59.99533462524414
Na3Li1P2O7,59.96550750732422
Li3Cu3P2O8,59.80405807495117
K2Mg1Si1O4,59.74882507324219
K3Dy1Si2O7,59.523075103759766
Y1Si2Ag3O7,59.31732940673828
U1C2S1N4O8,59.29510116577149
Ni1H4I2O8,59.257301330566406
Ba1Cu1B2O5,59.08170318603516
Li3P2W1O8,58.84519958496094
Li6Fe5O12,58.338035583496094
K3Gd1Si2O7,58.248783111572266
