formula,predicted_Tc,efermi,band_gap,database_IDs
Ca4Mn3B3C1O15,20.674285888671875,2.99513436,1.4971000000000003,icsd-24973
Li1B1C1,18.015573501586914,4.2961937,0.8471000000000002,icsd-425059
Ca10Ge16B6O51,15.602356910705566,1.96985695,2.7264,icsd-261970
Li1B6C1,15.498140335083008,4.52697635,1.3922,icsd-415556
Li3Cu1O3,12.579113960266113,0.5593831,0.9644,icsd-4201
Ba2Li1I1O6,12.359230995178223,4.85607901,2.075600000000001,pf-8210
Ca1Rh2O4,11.857011795043945,5.05747194,0.5796999999999999,icsd-170597
Li5I1O6,11.800681114196777,4.81650942,2.5907,pf-35326
Li3Bi1O4,11.645040512084961,2.09080846,1.0578999999999996,icsd-109087
Sr3Li1Ru1O6,11.620441436767578,2.86924183,0.399,icsd-96220
Li5Bi1O5,11.526571273803711,1.20367137,1.3597,icsd-203031
Ca1Bi2O4,11.230644226074219,2.67564903,2.4507,icsd-78089
C1,11.044027328491211,2.43154306,0.1021,icsd-28417
Li4Np1O5,10.670164108276367,4.34861824,0.5886000000000005,icsd-74983
Li4Te1O5,10.612375259399414,2.43562062,2.7111,icsd-2403
Li1Ca3Ru1O6,10.560192108154297,3.3239542,0.3111000000000001,icsd-96219
Bi2C1O5,10.466711044311523,4.24221591,2.2747,icsd-202767
Zn1Bi2B2O7,10.093025207519531,3.12582373,2.5198,icsd-165521
Ba4Li1Cu1C2O10,10.04266357421875,2.26216642,0.9265,icsd-401122
Ba4Li1Bi3O12,10.033201217651367,3.08621092,0.5661,pf-40083
Li2Zn1Sn3O8,9.554234504699707,5.36169647,1.9407,icsd-59772
Li1Rh1O2,9.534636497497559,4.4847718,1.5153,icsd-29213
Ca5I2O12,9.143558502197266,5.4364731,2.5413,icsd-237980
Li6Te1O6,8.95952033996582,0.99889412,2.5821,icsd-40247
Ca1Fe1Ge2O6,8.835312843322754,2.80648068,1.6032000000000002,icsd-290257
Li1Ce1F5,8.682461738586426,-1.30940816,2.2896,icsd-426215
Li2V1F6,8.486661911010742,-1.20372569,2.1121,icsd-290252
Ca1Cu1F4,8.129467010498047,0.80430605,0.7392000000000001,icsd-9928
Li2Mn3Ni1O8,8.12010669708252,2.21629323,0.9363,icsd-187804
Li3Bi1O3,8.0138578414917,1.47422843,2.4379,icsd-40245
Ca3Cr2Ge3O12,7.980769157409668,2.45794828,2.9977000000000005,pf-24090
Ca2Sn1,7.973443031311035,4.06137784,0.0559000000000002,icsd-58935
Li2Te1O4,7.966460704803467,2.15253876,2.2671,icsd-1485
Ca3Fe2Ge3O12,7.954650402069092,2.16371016,2.4209000000000005,icsd-28176
B1,7.849936008453369,6.15041714,1.4333999999999998,icsd-108026
Ca3Ge3Rh2O12,7.748016834259033,3.49875965,1.5931000000000002,pf-32222
Li1Bi1F6,7.70717716217041,-2.72308001,2.5394,icsd-15119
Cs1Gd1C2O6,7.624195098876953,0.72540478,2.7429,icsd-409081
Li2Mo1F6,7.587453842163086,-0.40606103,2.0388,icsd-74565
Ba1Li2Ti6O14,7.584660053253174,4.35233346,2.8908,icsd-152568
Y16B4C8I19,7.559147834777832,3.12318291,0.2362000000000002,icsd-408701
Li1Mo1I1O6,7.532196044921875,1.18308338,2.2334,icsd-156006
Sr1Li2Ti6O14,7.511814594268799,1.69320226,2.8389000000000006,icsd-95908
Li1In1O2,7.434814453125,3.91786744,1.8143,icsd-40665
Li2O2,7.191473484039307,1.48740273,1.9743,icsd-180557
Li1Mn1V1O4,7.153421878814697,1.79498959,1.9637,icsd-281581
Li1Bi1O3,7.138634204864502,2.6220359,0.1445000000000003,icsd-82277
Li1In1Ge1O4,7.130714416503906,2.24399998,2.2778,icsd-62229
Ba2Ca1V2Cu1F14,7.085490703582764,0.70344131,0.1441,icsd-419544
Li1Bi1Pd2O4,7.058173179626465,3.72913053,0.4459999999999997,icsd-202930
Li8Bi2Pd1O10,7.019355773925781,2.35178682,0.7427000000000001,icsd-73000
Bi4B2O9,7.005084037780762,4.02982584,2.8354,icsd-250425
Li1Nd1Sn1,6.978953838348389,4.14982137,0.0029000000000003,icsd-603177
Li2Pd1F6,6.975340366363525,-1.88532539,1.6748999999999998,icsd-165212
Cs1Li1Cr1O4,6.945420742034912,-1.11847499,2.7465,icsd-63416
Ca3Mn2Ge3O12,6.908428192138672,2.76708836,1.017,icsd-89835
Li3Bi1,6.76514196395874,2.90571406,0.3428999999999997,icsd-616778
Cs1Zr6B1I14,6.728789329528809,3.38904542,0.7638000000000003,icsd-202102
Ba1Li2Mn1V2O8,6.66207218170166,1.37688755,2.7197000000000005,icsd-429825
Li2Fe1Ge1O4,6.630120277404785,1.34686004,2.1565,pf-36012
Ba2Ca1V2Fe1F14,6.626393795013428,2.08966885,1.0214,pf-18258
Ca2Tm1Ru1O6,6.536883354187012,3.46170664,0.286,pf-13405
Li3V1F6,6.341073989868164,-0.25754429,2.4336,icsd-100300
Ba1Ca1Ge1,6.266778945922852,2.93059898,0.1812999999999998,icsd-52681
Li2Mn1F5,6.248650074005127,-0.9442579,1.8414,icsd-202394
Li14Be6B9O27,6.208733558654785,0.21744774,0.0084,pf-4855
Ca1Cr1F6,6.197587013244629,-2.75614002,1.5339000000000005,icsd-10343
Li1Ca2In1Ge2,6.139550685882568,4.20942336,0.0043999999999995,icsd-280690
Ca1Mn1Ge2O6,6.1223297119140625,2.68002381,1.6037000000000003,pf-1156
Li2Mn3Zn1O8,6.115776062011719,1.57007357,1.2898999999999998,icsd-26995
Ca2Sn1O4,5.964486122131348,3.35927175,2.7198,icsd-9011
Ca3In2Ge3O12,5.939023494720459,3.22949006,2.6718,pf-12286
Ca1Fe1F5,5.8274383544921875,-2.34368277,2.833,icsd-412862
Ca1Te3O8,5.756269454956055,4.61248851,2.0176,icsd-100661
Li1In1I4,5.744558334350586,0.87763143,2.2465,icsd-36599
Li2Cr1F6,5.735954284667969,-1.83876026,1.2089,icsd-418676
Cr3B7I1O13,5.7233991622924805,4.99436916,1.7271999999999998,icsd-62178
Ba2Ca1Mn2Cu1F14,5.716878890991211,0.24948034,0.7884999999999999,pf-39241
Ca4Bi2O1,5.6666059494018555,4.15265505,0.8131000000000004,icsd-416137
Li1Cu1O1,5.660111427307129,2.60535056,1.4376000000000002,icsd-40156
Ba1Ni1F6,5.592009544372559,-1.43126685,0.4727,icsd-35396
Np1B3O8,5.523414611816406,0.55143557,0.5495,icsd-174504
Ca1Cr1F5,5.521671295166016,-1.31530813,2.7248,icsd-10286
Ni3B7I1O13,5.520284652709961,3.59314004,2.370000000000001,icsd-27946
Sr1Ni1F6,5.454673767089844,-1.22624429,1.7074,icsd-30114
Sr1Ca1Ge1,5.383594512939453,2.93670991,0.4356,icsd-172006
Ca1Mn1Ge1O4,5.354623317718506,2.77934161,1.7912999999999997,pf-31872
Li10Zn4O9,5.352176666259766,0.31932731,2.329,icsd-68494
Li1In1I4O12,5.328781604766846,2.41278701,2.6987,icsd-422056
Li3Ni1F6,5.263981819152832,-2.25901361,2.3599,pf-30988
Ca1Mn1F5,5.102870941162109,-1.00656522,0.995,icsd-69632
Li1Ca1V1F6,5.050323486328125,0.00859792,2.6309,pf-24279
Li1Fe2F6,5.019867897033691,0.28057056,1.7058,icsd-202705
