formula,predicted_Tc,efermi,band_gap,database_IDs
Ba3Tm1B3O9,100.07215881347656,1.97555337,3.8436,icsd-39742
Ba3Er1B3O9,94.78648376464844,2.06538599,3.8599,pf-16421
Ba3Dy1B3O9,82.32627868652344,2.20817585,3.8533,pf-41462
Ba2Y1C2O6F3,72.62771606445312,0.72030391,5.263999999999999,icsd-72733
Li2Ca1Ge1O4,72.38420104980469,0.91971225,4.1135,icsd-19024
Li2Fe1Ge1O4,69.11721801757812,1.34686004,2.1565,pf-36012
Ba2Gd1C2O6F3,66.1717529296875,0.77374221,3.0692,icsd-72734
Cs1Be4B3O9,63.93077850341797,0.6731749,4.9398,icsd-190738
Ba3Y1B3O9,63.65238571166992,1.89148802,3.8153,icsd-99180
Li2Zn1Ge1O4,62.10960388183594,0.07629145,3.1053,icsd-34362
Li1Cr1O2,61.606201171875,2.86844198,3.1156,icsd-167479
Cs2Li1Mn1O4,58.855194091796875,1.01353152,1.5915,icsd-72361
Ba1Ca1B2O5,52.78258514404297,0.93304749,4.4673,icsd-195370
Cs2Ba2C3O9,52.34269714355469,0.77750475,4.3381,icsd-73170
Ba3Tm1B9O18,49.864601135253906,5.73228974,5.2609,pf-26791
Ba2Zn1B2O6,49.06158447265625,0.86298631,3.3328,icsd-75606
Cs2Li2Ti1O4,48.73352813720703,0.7541609,3.9554,icsd-33810
Cs1C1O2,48.014991760253906,0.29985246,4.1557,icsd-165560
Li1Cu1O2,47.01490783691406,2.30504464,0.0,icsd-74978
Cs2Li2Ge1O4,43.631431579589844,0.77759562,3.4744,icsd-36532
Sr3Be1B6O13,42.66632080078125,1.65213127,4.7944,icsd-251011
Ba3B6O11F2,40.89897537231445,1.18792598,5.2662,icsd-184715
Li14Be6B9O27,40.15021514892578,0.21744774,0.0084,pf-4855
Li2Mn1Ge1O4,39.38294219970703,1.53247792,2.0368,pf-4548
Ba4Li1Cu1C2O10,38.87738037109375,2.26216642,0.9265,icsd-401122
Cs2Li1V1O4,38.595401763916016,0.11328535,3.9955,icsd-40219
Sr2Li1Be1B3O8,38.17509841918945,1.03961493,4.7198,icsd-262730
Ca4Er1B3O10,37.81938171386719,1.61382044,4.4289,pf-36515
Cs3Li4B7O14,36.55284881591797,0.2681632,4.5217,icsd-261420
Sr3B6O11F2,35.76958465576172,1.23721881,5.4177,icsd-262538
Li3Bi1O4,35.47772216796875,2.09080846,1.0578999999999996,icsd-109087
Ca2Cu1O3,35.19615173339844,4.29986781,0.0,icsd-16216
Li1Ca3Ru1O6,32.79593276977539,3.3239542,0.3111000000000001,icsd-96219
Ba1Zn1C1O3F2,31.949302673339844,0.40278733,4.7744,icsd-95739
Ca1Mn1Ge1O4,31.747875213623047,2.77934161,1.7912999999999997,pf-31872
Ba2Ca1B2O6,31.704853057861328,1.79360915,4.080500000000001,icsd-80429
Ca4Y1B3O10,31.218870162963867,1.66218681,4.4498,pf-26038
Cs1B1O2,31.000980377197266,0.29175144,3.8457,icsd-74888
Ba1Bi1B1O4,30.84466552734375,1.94018523,3.5528000000000004,icsd-424596
Fe3B7I1O13,30.199172973632812,2.77106425,3.0026,icsd-5421
Li6Tm1B3O9,30.179710388183594,5.31172076,4.8029,pf-36630
Li1Bi1Pd2O4,30.136463165283203,3.72913053,0.4459999999999997,icsd-202930
Sr1Be1B2O5,30.082338333129883,1.83052516,5.3673,icsd-191121
Mn3B7I1O13,29.432186126708984,3.23770873,3.8123,icsd-84319
Sr1B2O4,28.70331573486328,0.36734952,4.9456,icsd-203226
Ca4Sm1B3O10,27.5694637298584,1.68406214,4.3982,icsd-66369
Li1In1O2,27.494800567626953,3.91786744,1.8143,icsd-40665
Ba3Y2B6O15,27.25765609741211,0.70258014,4.525,icsd-261704
Li2B6O9F2,26.69454574584961,-1.04078464,6.2705,icsd-423435
Li1Er1O2,26.478790283203125,0.83539114,4.110799999999999,icsd-95380
Sr1B6,26.403804779052734,4.4717256,0.0,icsd-196517
Ca1Mn2O4,25.99311637878418,3.26728442,2.0103,icsd-280514
Cs1Li5B2O6,25.51029396057129,0.4275798,3.9878,icsd-61203
Cr3B7O13F1,24.83319091796875,2.98524537,3.1891000000000003,pf-24581
Ca1Bi2O4,24.680490493774414,2.67564903,2.4507,icsd-78089
Cr3B7I1O13,24.447065353393555,4.99436916,1.7271999999999998,icsd-62178
Ba1B6,24.30206871032715,4.20854871,0.0,icsd-194634
Li1Dy1O2,23.967880249023438,0.88374649,4.5644,icsd-422562
Li6Er1B3O9,23.723522186279297,5.24208837,4.7625,pf-26138
Li2Be1F4,23.604490280151367,-3.59855049,7.722300000000001,icsd-72422
Ba1Be2B2O6,23.20481300354004,1.27251551,5.3821,icsd-67975
Ca3Tm2Ge3O12,22.993572235107422,2.15108284,3.2590000000000003,pf-1913
Ca1Y1B1O4,22.907960891723633,1.52013159,4.3059,pf-11148
Be2B1O3F1,22.821060180664062,-0.8618101,6.462899999999999,icsd-56847
Ba1Nd1Cu1B1O5,22.684839248657227,3.45778895,0.0,icsd-94205
Li1Ti1O2,22.571819305419922,6.39505234,0.0,icsd-164158
Li3Cu1O3,22.334314346313477,0.5593831,0.9644,icsd-4201
Ca4Mn3B3C1O15,22.15218734741211,2.99513436,1.4971000000000003,icsd-24973
Cu1B2O4,22.102659225463867,3.34963412,0.0,icsd-191850
Ba3Ni1Ru2O9,22.05340003967285,3.71027832,0.0,icsd-69091
Ba1Sm1C2O6F1,21.956327438354492,1.84001379,4.295999999999999,icsd-72444
Li4Ca1B2O6,21.87381362915039,0.56635257,4.7254,icsd-239000
V1Fe2B1O5,21.600479125976562,3.46997186,1.6459999999999997,pf-7162
Ba2Ce1C3O9F1,21.413610458374023,4.69284296,0.0766,icsd-85572
Li1Tb1O2,21.09140968322754,0.98844127,4.5467,icsd-21013
Ca3Ge3Rh2O12,20.096282958984375,3.49875965,1.5931000000000002,pf-32222
Li1Be1B1,19.75464630126953,3.03279953,0.0,icsd-191996
Li3Bi1O3,19.594953536987305,1.47422843,2.4379,icsd-40245
Ni3B7I1O13,19.539649963378906,3.59314004,2.370000000000001,icsd-27946
Ca4Nd1B3O10,19.46538734436035,1.6222759,4.3686,pf-4963
Ti3Zn3C1,19.197755813598633,4.95768419,0.0,icsd-618966
Cs2Li1Nd1B2O6,19.196210861206055,5.39944128,4.4762,icsd-429483
Li2Mn3Ni1O8,18.528079986572266,2.21629323,0.9363,icsd-187804
Sr3Tb2B4O12,18.52699851989746,6.36832144,4.525600000000001,pf-16723
Sr1Li1B9O15,17.880456924438477,-0.41263063,5.6482,icsd-93015
Ca1F2,17.780982971191406,-1.01894632,7.1157,icsd-41413
Li3V1O4,17.616403579711914,-0.67359684,3.6916,icsd-239303
