formula,predicted_Tc,efermi,band_gap,database_IDs
Li2Fe1Ge1O4,69.11721801757812,1.34686004,2.1565,pf-36012
Cs2Li1Mn1O4,58.855194091796875,1.01353152,1.5915,icsd-72361
Li14Be6B9O27,40.15021514892578,0.21744774,0.0084,pf-4855
Li2Mn1Ge1O4,39.38294219970703,1.53247792,2.0368,pf-4548
Ba4Li1Cu1C2O10,38.87738037109375,2.26216642,0.9265,icsd-401122
Li3Bi1O4,35.47772216796875,2.09080846,1.0578999999999996,icsd-109087
Li1Ca3Ru1O6,32.79593276977539,3.3239542,0.3111000000000001,icsd-96219
Ca1Mn1Ge1O4,31.747875213623047,2.77934161,1.7912999999999997,pf-31872
Li1Bi1Pd2O4,30.136463165283203,3.72913053,0.4459999999999997,icsd-202930
Li1In1O2,27.494800567626953,3.91786744,1.8143,icsd-40665
Ca1Mn2O4,25.99311637878418,3.26728442,2.0103,icsd-280514
Ca1Bi2O4,24.680490493774414,2.67564903,2.4507,icsd-78089
Cr3B7I1O13,24.447065353393555,4.99436916,1.7271999999999998,icsd-62178
Li3Cu1O3,22.334314346313477,0.5593831,0.9644,icsd-4201
Ca4Mn3B3C1O15,22.15218734741211,2.99513436,1.4971000000000003,icsd-24973
V1Fe2B1O5,21.600479125976562,3.46997186,1.6459999999999997,pf-7162
Ba2Ce1C3O9F1,21.413610458374023,4.69284296,0.0766,icsd-85572
Ca3Ge3Rh2O12,20.096282958984375,3.49875965,1.5931000000000002,pf-32222
Li3Bi1O3,19.594953536987305,1.47422843,2.4379,icsd-40245
Ni3B7I1O13,19.539649963378906,3.59314004,2.370000000000001,icsd-27946
Li2Mn3Ni1O8,18.528079986572266,2.21629323,0.9363,icsd-187804
Ca3In2Ge3O12,16.976152420043945,3.22949006,2.6718,pf-12286
Sr3Li1Ru1O6,16.918275833129883,2.86924183,0.399,icsd-96220
Ca2Sn1O4,16.514026641845703,3.35927175,2.7198,icsd-9011
Ca1Mn1Ge2O6,16.17903709411621,2.68002381,1.6037000000000003,pf-1156
Li2Te1O4,15.86417007446289,2.15253876,2.2671,icsd-1485
Fe2Ni1O4,15.580802917480469,3.57517255,1.3615999999999997,icsd-182237
Ca3Fe2Ge3O12,15.567747116088867,2.16371016,2.4209000000000005,icsd-28176
Ca3Cr2Ge3O12,15.251469612121582,2.45794828,2.9977000000000005,pf-24090
Li5I1O6,14.887532234191895,4.81650942,2.5907,pf-35326
Li2Cr1O4,14.680952072143555,-1.55661831,2.6021,icsd-1972
Ca3Zn3Te2O12,14.22667407989502,2.4927827,2.1295999999999995,icsd-67045
Ca1Fe1Ge2O6,13.897241592407227,2.80648068,1.6032000000000002,icsd-290257
Li3Gd1B2O6,13.812742233276367,3.68852379,2.9198,icsd-94356
Ba7Ca2Mn5O20,13.8078031539917,2.372734,0.7955000000000001,icsd-59699
Sr2Ni1Mo1O6,13.76166820526123,3.43705053,2.0734000000000004,icsd-157021
Li1B6C1,13.652785301208496,4.52697635,1.3922,icsd-415556
Ca10Ge16B6O51,13.412126541137695,1.96985695,2.7264,icsd-261970
Ba5Tm8Ni4O21,13.20510482788086,2.88709065,2.3991,pf-6824
Sr2Ca1Mo1O6,13.041823387145996,1.94062282,2.6243,icsd-380254
Ba2Ca1Mo1O6,12.86319637298584,2.36964069,2.258,icsd-45317
Ca3Mn2Ge3O12,12.834856986999512,2.76708836,1.017,icsd-89835
Li2Mn1F5,12.679548263549805,-0.9442579,1.8414,icsd-202394
Ca2Tm1Ru1O6,12.659225463867188,3.46170664,0.286,pf-13405
Mn2B1O4,12.542994499206543,3.61528101,0.5381,icsd-252607
Ba2Ca1Te1O6,12.483899116516113,3.0895686,2.9976,icsd-246112
Li1In1Ge1O4,12.412153244018555,2.24399998,2.2778,icsd-62229
Cs1Li2Gd4B5O15,12.353752136230469,1.30401681,2.5666,icsd-240894
Li1Mn1V1O4,12.350626945495605,1.79498959,1.9637,icsd-281581
Ca1Te1O4,11.245417594909668,2.51427046,2.2712,icsd-8097
Bi4B2O9,10.945413589477539,4.02982584,2.8354,icsd-250425
Gd3C1I3,10.922621726989746,5.1373298,0.0610999999999997,icsd-73199
Li1Bi1O3,10.9063081741333,2.6220359,0.1445000000000003,icsd-82277
Li1Rh1O2,10.834983825683594,4.4847718,1.5153,icsd-29213
B1,10.686223030090332,6.15041714,1.4333999999999998,icsd-108026
Mn3B2O6,10.04559326171875,3.41515292,2.0333,icsd-34561
Li3V1F6,10.021422386169434,-0.25754429,2.4336,icsd-100300
Ca1Cu1F4,9.741429328918457,0.80430605,0.7392000000000001,icsd-9928
Ba4Li1Bi3O12,9.446467399597168,3.08621092,0.5661,pf-40083
Ba1Nd2Ni1O5,9.437173843383789,3.48386084,1.9985000000000004,icsd-72626
Ba2Ca1V2Cu1F14,9.183967590332031,0.70344131,0.1441,icsd-419544
Li1B1C1,9.086726188659668,4.2961937,0.8471000000000002,icsd-425059
Ni2Ge1O4,8.924400329589844,4.01941694,2.1356,icsd-69508
Ba2Ca1Mn2Cu1F14,8.849698066711426,0.24948034,0.7884999999999999,pf-39241
Ba1Pr2Ni1O5,8.686962127685547,3.38221086,2.1674,icsd-75035
Ni2Te3O8,8.674869537353516,5.25602856,0.5076,icsd-50703
Li4Np1O5,8.604612350463867,4.34861824,0.5886000000000005,icsd-74983
Li10Zn4O9,8.540980339050293,0.31932731,2.329,icsd-68494
Ba1Li2Ti6O14,8.53087329864502,4.35233346,2.8908,icsd-152568
Cs1Er10C4I18,8.378437995910645,3.60117355,0.2905000000000002,icsd-72762
Ba5Er8Ni4O21,8.268582344055176,2.88152397,2.4221000000000004,pf-35258
Bi2C1O5,8.223433494567871,4.24221591,2.2747,icsd-202767
Cs1Li1Cr1O4,8.08720874786377,-1.11847499,2.7465,icsd-63416
Y16B4C8I19,8.003042221069336,3.12318291,0.2362000000000002,icsd-408701
C1,7.865729331970215,2.43154306,0.1021,icsd-28417
Cs1Zr6B1I14,7.845273971557617,3.38904542,0.7638000000000003,icsd-202102
Ba2Li1I1O6,7.771939277648926,4.85607901,2.075600000000001,pf-8210
Ba2Ca1V2Fe1F14,7.768939971923828,2.08966885,1.0214,pf-18258
Eu2B2O5,7.75767707824707,4.8583227,0.0819,pf-5007
Li1Bi1F6,7.749722480773926,-2.72308001,2.5394,icsd-15119
Cs1Er6C1I12,7.745623588562012,3.79371137,0.2199999999999997,icsd-72761
Ba2Ca1Mn1V2F14,7.727590560913086,2.04363329,1.2483,pf-7759
Y5C2I9,7.694304466247559,2.91451383,1.4454000000000002,icsd-402128
Zn1Bi2B2O7,7.611163139343262,3.12582373,2.5198,icsd-165521
Li2Mn3Zn1O8,7.535322189331055,1.57007357,1.2898999999999998,icsd-26995
Li2V1F6,7.484988212585449,-1.20372569,2.1121,icsd-290252
Ca1Mn1F5,7.462655067443848,-1.00656522,0.995,icsd-69632
Cs2Zr7C1I18,7.359854698181152,3.88890435,0.1184000000000002,icsd-72606
Eu3B2O6,7.352697372436523,5.11797073,0.4588000000000001,icsd-86479
Y1B4Mo1,7.352333068847656,6.86930065,0.2774000000000001,icsd-20081
Eu1C1O3,7.201091766357422,4.92373906,0.4292999999999995,icsd-109074
Ba1Ni1F6,7.192668914794922,-1.43126685,0.4727,icsd-35396
Fe1B2,7.125953674316406,8.29298741,0.5153999999999996,icsd-425310
Eu1B2O4,7.1013031005859375,5.0099785,0.2902999999999993,icsd-30546
Ca1Rh2O4,7.030574798583984,5.05747194,0.5796999999999999,icsd-170597
Zr6C1I14,6.92828369140625,2.80136651,0.7934999999999999,icsd-60915
Ca4Pd1O6,6.92131233215332,2.92705301,1.8227,icsd-88134
Li1Ca1V1F6,6.915765762329102,0.00859792,2.6309,pf-24279
Ba1Li1Cr1F6,6.889753341674805,0.94211,2.1413,icsd-6042
Ca1B2C2,6.787595748901367,4.51458841,0.4750999999999994,icsd-88019
Ba1Li2Mn1V2O8,6.779611587524414,1.37688755,2.7197000000000005,icsd-429825
Ca1Fe1F5,6.749467849731445,-2.34368277,2.833,icsd-412862
Y6Ni1I10,6.741462707519531,3.8536877,0.4936999999999996,icsd-248711
Sr1Li2Ti6O14,6.727914810180664,1.69320226,2.8389000000000006,icsd-95908
Cr1Ni2B1O5,6.701692581176758,4.0602231,2.7366,pf-38640
Ca2Fe2O5,6.6705169677734375,3.65982951,0.8630999999999998,icsd-161509
Cs1Pr3C1I6,6.557826995849609,3.51581103,0.7084000000000001,icsd-300266
Ca4Bi2O1,6.506202697753906,4.15265505,0.8131000000000004,icsd-416137
Ba2Ni1Mo1O6,6.439792633056641,3.09202529,2.3514,icsd-98192
Gd2C1F2,6.392803192138672,3.41776798,0.7328000000000001,icsd-33912
Pr7C3I10,6.321826934814453,4.4043765,0.0121999999999999,icsd-409907
Li2Mn1O3,6.288383483886719,2.45687681,1.3683999999999998,icsd-187500
Ca1Te1,6.250240325927734,3.67271973,1.5535,icsd-619616
Ba2Ca1Pd3O6,6.1815185546875,2.58720544,1.4866,icsd-73082
Er1B4Mo1,6.150310516357422,6.48256778,0.5880999999999998,icsd-613775
Li2Cr1F6,6.106084823608398,-1.83876026,1.2089,icsd-418676
Ba1Ca1Ge1,6.017328262329102,2.93059898,0.1812999999999998,icsd-52681
Ca5I2O12,5.991567611694336,5.4364731,2.5413,icsd-237980
Li1Fe2F6,5.884790420532227,0.28057056,1.7058,icsd-202705
Np1B3O8,5.8430328369140625,0.55143557,0.5495,icsd-174504
Y2C1I2,5.829410552978516,3.55033907,0.4950999999999999,pf-38520
Fe3B1O5,5.765512466430664,3.50816274,1.0194999999999994,icsd-31214
Y1Cr1B4,5.721391677856445,6.56229408,0.1589,icsd-16171
Li1Sm2Ru1O6,5.677665710449219,3.73743224,0.3999000000000001,pf-861
Ca2Mn3O8,5.654340744018555,2.12352509,1.2523,icsd-24847
Li4Te1O5,5.510503768920898,2.43562062,2.7111,icsd-2403
Li2Zn1Sn3O8,5.309858322143555,5.36169647,1.9407,icsd-59772
Dy7C2I12O1,5.300573348999023,3.71480361,0.0270999999999999,icsd-421642
